CustomerId,ComplaintNumber,Complaint
8849-GYOKR,1,"I've been a loyal customer for years, but the high monthly charges for my services, especially for fiber optic internet and streaming, feel excessive compared to competitors. Despite having multiple services, I don't see any loyalty discounts or benefits."
0329-GTIAJ,2,"When I contacted tech support about the streaming issues, I was put on hold for an extended period, and the issue was not resolved even after multiple attempts."
9337-SRRNI,3,"I tried reaching out to customer support about my phone issues, but I haven't received any helpful response or resolution."
9451-WLYRI,1,"I've been a loyal customer for over four years, but I don't understand why my service options are so limited. Despite paying consistently, I'm not able to access internet services, which feels unfair. I would like an explanation or a way to upgrade my services."
2027-WKXMW,2,"Despite having tech support included, it takes forever to get issues resolved when I call. The delays and lack of proactive solutions are extremely frustrating."
0122-OAHPZ,2,"The customer support team has been unhelpful in addressing my complaints about the internet service. Each time I call, I am either put on hold for an extended period or given generic responses without any real action being taken."
4489-SNOJF,1,"I am extremely disappointed with the frequent price increases on my monthly bill despite being a loyal customer for nearly three years. The charges feel excessive, especially considering I am careful to use only the services I need."
4291-SHSBH,3,The lack of included services like online security or tech support for the price I'm paying feels unfair and makes me question the value of this subscription.
3583-EKAPL,1,"The streaming movies service is not working properly. I've been trying to watch movies, but the service keeps buffering or failing to load altogether. This is very frustrating, especially since I've just started my account."
7895-VONWT,1,"The streaming services I subscribed to, both TV and movies, often experience buffering and interruptions despite having a stable internet plan. This has been frustrating, and I expect a resolution to improve the quality of these services."
0617-AQNWT,5,"I decided to cancel my service because of the continued poor performance and lack of resolution, but the cancellation process was unnecessarily complicated and time-consuming."
6719-OXYBR,5,I am frustrated that basic online security features are not included in my plan. I would expect this to be a standard offering given the high cost.
8894-JVDCV,4,"I noticed an unexpected increase in my monthly charges recently, and I haven't received any explanation or notification about this change."
7133-VBDCG,1,"The internet connection has been extremely inconsistent despite using fiber optic service. I've reported this issue multiple times, but it still hasn't been resolved, which is very frustrating and led me to cancel my service."
5380-AFSSK,1,"The streaming services I’ve been paying for are constantly buffering and lagging, making it impossible to enjoy watching TV or movies. Despite the high monthly charges, the quality of service has been very disappointing."
9391-DXGGG,3,Your customer service team is unresponsive and unhelpful when I try to report service issues. I expect better support for long-term customers.
0207-MDKNV,2,"Despite having tech support included, when I reached out for help with my streaming issues, the support team was unresponsive and did not resolve the problem."
7587-RZNME,1,"The DSL internet service has been extremely slow and unreliable despite paying $43.30 per month. Customer support has not provided any real assistance, which is why I decided to cancel my service."
9514-JDSKI,2,"I reached out to customer support regarding my streaming issues, but I received no clear resolution or follow-up. This lack of assistance is very frustrating."
9776-CLUJA,1,"The internet service has been consistently unreliable despite being on a fiber optic plan. I’ve had frequent outages and slow speeds, which is unacceptable given the high monthly charges. I had no choice but to cancel my service."
6365-MTGZX,5,I was charged for the month even though I decided to cancel due to these ongoing problems—I would like a refund for the unused services.
7036-ZZKBD,1,"The streaming movies service often buffers and has poor video quality, even though I am paying for it. This has been frustrating, and I would like this issue resolved immediately."
5931-FLJJF,3,"Despite the poor service, my monthly bill remains high, and I don’t feel like I’m getting value for the amount I’m paying."
7688-AWMDX,1,"Despite being a long-term customer, my DSL internet speed has been consistently below what was promised in my plan. It's frustrating to deal with such slow speeds when I rely on a stable connection for work and other activities. Please resolve this issue promptly."
0479-HMSWA,2,"Despite having tech support included in my plan, it took ages to get through to a representative the last time I called, and they couldn't resolve my issue effectively. This level of support is unacceptable for the amount I’m paying."
6393-WRYZE,2,"I was hoping to get better customer support for technical issues, but every time I try to reach out, I either get no response or unhelpful answers. This has left me feeling frustrated and undervalued as a customer."
2025-JKFWI,1,"The streaming services keep buffering, and the internet speed is inconsistent despite having a fiber optic connection. This has been ongoing for weeks, and I expected better service given the high monthly charges."
6289-CPNLD,5,"The mailed check payment method is inconvenient, and I faced delays in processing my payments, leading to unnecessary stress."
6457-USBER,3,"The monthly charges are too high for the limited services I’m receiving, especially considering the ongoing issues with streaming."
0754-UKWQP,5,The process of canceling my subscription was overly complicated and frustrating. It took multiple calls just to ensure my account was closed.
4664-NJCMS,4,"I noticed that my monthly charges have slightly increased over time, and I would like an explanation for these changes."
5708-EVONK,2,"I contacted customer support about the streaming issue, but they were unable to provide a resolution or timeline for fixing the problem, which is very frustrating."
0970-ETWGE,5,The electronic check payment method is inconvenient and caused delays in processing my bill. I would prefer more flexible payment options.
3334-CTHOL,1,"The phone service quality has been extremely poor, with frequent dropped calls and bad signal strength. Despite having multiple lines, I am unable to use the service effectively, which is frustrating given the cost."
7102-JJVTX,1,"The internet speeds with my DSL service are much slower than what was advertised, making it difficult for my family to use the internet efficiently. This has been an ongoing issue, and I would like it resolved as soon as possible."
2027-FECZV,1,"The streaming services I signed up for, including TV and movies, frequently buffer and lag, making it impossible to enjoy any content. Despite paying a high monthly charge, the quality of service has been incredibly frustrating."
5624-BQSSA,1,"I signed up for phone service expecting reliable connectivity, but I've been dealing with dropped calls and poor call quality since the beginning. This is unacceptable, especially as a new customer."
6651-AZVTJ,1,"The internet service has been consistently unreliable, especially during streaming. Both TV and movie streaming frequently buffer or disconnect, making it impossible to enjoy the services I’m paying for. Despite contacting support previously, the issue remains unresolved."
4118-CEVPF,1,"The monthly charges are extremely high despite having a one-year contract. I feel like I’m not getting a reasonable price for the services I’m using, and I would like to discuss better pricing options."
0022-TCJCI,4,"I canceled my service because of these ongoing issues, but I was still billed after cancellation, and I need this resolved immediately."
4514-GFCFI,1,"The streaming TV service frequently buffers or stops working altogether, making it impossible to enjoy watching shows. I have reported this issue several times, but no resolution has been provided."
4626-OZDTJ,1,"The streaming services I’m paying for frequently buffer or crash, especially during peak hours, which is extremely frustrating given how long I’ve been a loyal customer. I expect better service for the price I’m paying."
9524-EGPJC,2,"I contacted tech support about the streaming issue, but the response was unhelpful and did not fix the problem. I am very frustrated with the lack of resolution."
7312-XSBAT,1,"The internet speed I’m getting is much slower than what was promised under the DSL plan. It’s been frustrating trying to complete basic online tasks, and I need this resolved immediately."
9282-IZGQK,4,"I feel frustrated that there are no options for tech support or device protection, which leaves me without any assistance when things go wrong."
5392-AKEMH,1,"I am frustrated with the lack of support or options to enhance my internet security. As a DSL customer, I feel exposed without online security features, and there seems to be no clear guidance or bundled options to address this concern."
6142-VSJQO,5,I don’t think the monthly charges are justified given the lack of reliable services and support.
5419-CONWX,3,"Despite my complaints and poor service experience, my monthly charges remain very high. I feel like I am overpaying for services that are not meeting basic standards."
6047-YHPVI,1,"My internet service has been extremely unreliable, with frequent outages and slow speeds. Despite paying a high monthly charge, I am not getting the quality of service I expected. This has been very frustrating and has disrupted my daily activities."
2398-YPMUR,1,"The internet service has been consistently unreliable, with frequent outages and poor performance, making it difficult to complete essential tasks. Despite being a loyal customer for over a year, the lack of resolution has forced me to consider alternative providers."
8292-TYSPY,4,"I recently discovered that I’ve been charged for services I don’t fully use, such as device protection, and I would like a refund for these unnecessary charges."
4801-KFYKL,3,"I recently noticed some discrepancies in my billing statement, and the lack of a paperless billing option makes it harder to track and resolve these issues efficiently."
8718-PTMEZ,3,"When I tried to cancel my service, the process was unnecessarily complicated, and I was still charged for another month despite my request to cancel immediately."
7601-GNDYK,3,The mailed check payment process is inconvenient and slow. I would appreciate more payment options to make this easier.
0654-PQKDW,1,"The streaming TV service often freezes or buffers during shows, even though I have a stable internet connection and all other services are working fine. This has been a recurring issue that disrupts my viewing experience."
4250-WAROZ,1,"The streaming movies service often buffers and lags, making it difficult to enjoy movies. I've been paying a premium for fiber optic internet, so I expect better performance. Please resolve this issue promptly."
3063-QFSZL,1,"I signed up for streaming movies, but the service keeps buffering and is nearly unwatchable. I've only just started with your company, and this is already frustrating. Please fix this issue immediately."
0378-XSZPU,4,I also find the charges to be quite high compared to the quality of service I’m receiving. I expected better for the amount I’ve been paying over the years.
4612-THJBS,3,"The monthly charges are way too high for the level of service I am receiving, especially considering the recurring problems with streaming and lack of tech support."
0880-TKATG,1,"The streaming services I signed up for frequently buffer or fail to load, especially during peak hours. This has made it very frustrating to watch TV or movies with my family. I expected better quality given the high monthly charges."
2514-GINMM,1,"The streaming TV service constantly buffers and makes it impossible to watch anything without interruptions. Considering how much I'm paying monthly, this is unacceptable."
7401-JIXNM,1,The monthly charges for my services are too high compared to what similar providers offer. I would like to understand why I’m being charged so much and if there are any options to lower my bill.
4188-PCPIG,1,"The streaming TV service frequently buffers and disrupts my viewing experience, even though I have been a loyal customer for almost five years. I expect a resolution to this issue, as it is affecting the quality of the service I am paying for."
4077-HWUYD,3,"For the amount I am paying monthly, I expect seamless service across all platforms. The recurring issues with streaming and lack of effective resolution are unacceptable."
5066-GFJMM,3,"The monthly charges for just phone service seem high, especially when I am not utilizing any internet or additional features."
0897-FEGMU,4,"The monthly charges are extremely high for the level of service I’m receiving, and I feel that I’m not getting my money’s worth."
0947-MUGVO,2,"Customer support has been unhelpful in addressing my concerns about internet reliability. Each time I call, I am either put on hold for a long time or told the issue will be fixed, but nothing changes."
8149-AIQCG,1,"I am frustrated with the lack of tech support for my fiber optic internet service. Whenever I face connectivity issues, there is no one available to assist me, and I feel like I’m paying a premium without getting adequate support."
3137-LUPIX,3,I also feel that the monthly charges are quite high for the level of service I'm receiving. It's frustrating to pay this much for such recurring problems.
8972-HJWNV,3,"The customer support team has not been helpful in addressing my concerns. Every time I reach out, I am either put on hold for an extended period or given vague responses with no follow-up."
2506-TNFCO,2,"When I reached out to customer support to address the internet issues, I was met with unhelpful responses and no resolution. I am very disappointed with the lack of assistance."
8295-KMENE,3,"I'm paying a considerable amount monthly, but I feel like the internet speeds and overall service quality do not match the cost. I would like to know if there are any improvements or adjustments available."
1137-DGOWI,2,"Despite having tech support included, it takes an unreasonably long time to get a response when I need assistance with my internet issues."
5696-EXCYS,2,The pricing for my current plan seems high for the limited services I receive. I would like a review of my account to ensure fair pricing.
5524-KHNJP,2,"Despite paying for tech support, I have not been able to get assistance when I call customer service. The wait times are too long, and no one has followed up on my complaints."
0285-INHLN,1,"The internet speed has been inconsistent for the past few weeks, making it difficult to complete important tasks for my household. I would like this issue to be resolved promptly."
8937-RDTHP,1,The streaming movies service constantly buffers and is unwatchable despite having fiber optic internet. I expected better performance from such a high-cost plan.
7797-EJMDP,1,"The streaming movies service frequently buffers or fails to load properly, even though I have tech support and online security enabled. This has been very frustrating, especially since I'm paying for a reliable connection."
5494-WOZRZ,3,"The monthly charges keep increasing, and I feel like I’m not being informed properly about these changes. I would like a clear explanation of the price hikes."
1501-SGHBW,1,"The internet speed has been extremely slow, making it difficult to perform basic tasks online. Despite being a new customer, I feel like the service quality is not worth the cost."
0807-ZABDG,2,"I canceled my service because of the poor quality, but I was still charged for the following month, even though I no longer have access to the services. I need a refund immediately."
7279-BUYWN,5,"The billing process is confusing, and I feel the charges for the services I receive are not justified given the poor quality of service."
7780-OTDSO,1,"The internet service has been extremely unreliable, with constant disruptions while streaming TV and movies. Despite having Fiber optic, the quality and consistency are unacceptable, and no resolution has been provided."
5649-VUKMC,2,"When I reached out to customer support for help with my streaming issues, I was told there was no tech support available for my account. This lack of assistance is unacceptable, especially for a long-term customer."
5930-GBIWP,3,"The customer support response times are too slow. When I reached out about the streaming issue, it took days to get a reply, which is unacceptable."
1982-FEBTD,1,"I am dissatisfied with the lack of internet service options available to me. Despite being a long-term customer, I feel limited in what I can access, and I would like to know if you plan to expand your offerings to include internet services."
6298-QDFNH,1,"The internet service has been consistently unreliable, with frequent slowdowns and outages despite paying a premium for fiber optic. This has been incredibly frustrating, and attempts to resolve the issue through customer service have not yielded any improvements."
3522-CDKHF,1,"The internet service has been inconsistent lately, with frequent slowdowns during peak hours. Despite having Fiber optic, I am not getting the speed I was promised, which is very frustrating."
9317-WZPGV,1,"The streaming movies service has constant buffering issues, making it impossible to watch anything properly. Despite paying a high monthly charge, the service quality is unacceptable and needs immediate attention."
0654-HMSHN,5,"Despite my repeated complaints, no action has been taken to resolve my issues, which has ultimately led to my decision to discontinue the service."
7465-ZZRVX,4,"The monthly charges seem too high for the level of service I am receiving, and I feel I am not getting good value for the money."
7562-GSUHK,3,"Despite my loyalty over the past 16 months, my monthly charges keep increasing without any noticeable improvement in service quality. I feel overcharged for the poor service provided."
1217-VASWC,4,"Despite multiple requests, I haven't received any updates or resolution timelines for the internet and streaming issues. This lack of communication is very disappointing."
0114-RSRRW,4,"Despite these ongoing problems with the phone service, my monthly charges remain the same without any compensation or resolution."
7356-IWLFW,1,"The internet speed is consistently slower than what was promised with the fiber optic service. This has been particularly disruptive for my family, as we rely on stable internet for work and school-related activities. Please address this issue promptly."
8625-AZYZY,4,The lack of tech support as part of my plan has made it difficult for me to resolve ongoing service issues. I believe this should be included in a package that costs this much.
0156-FVPTA,2,"I am frustrated with the increasing monthly charges without any improvement in service quality. As a loyal customer for 22 months, I expected better support and transparency about the pricing."
8752-STIVR,4,I’m unhappy with the lack of tech support assistance and the overall service quality. This has made me reconsider continuing with your company.
5527-ACHSO,4,"For the price I'm paying monthly, I expect better service and reliability; currently, it doesn't feel worth the cost."
1450-GALXR,1,"The streaming services I’ve been paying for, including both TV and movies, frequently buffer or crash, making it impossible to enjoy the content. Despite paying a high monthly fee, the service quality is extremely disappointing."
3092-IGHWF,1,"The internet service has been consistently unreliable despite being fiber optic, and the lack of tech support has made it impossible to resolve the ongoing connectivity issues. This has been very frustrating, especially given the high monthly charges."
1761-AEZZR,1,"The streaming TV service has been buffering constantly, and the picture quality is terrible. I can't enjoy watching anything, and it's frustrating to pay such a high monthly charge for a service that doesn't work properly."
4057-FKCZK,2,"I have reached out multiple times regarding the lack of tech support services included in my plan, but I haven’t received any helpful assistance or options to resolve this issue."
6096-EGVTU,4,"The mailed check payment method is slow and inconvenient. I would prefer more modern payment options, but there seems to be no flexibility in upgrading my account."
3714-NTNFO,4,"The streaming movies service often lags or buffers, making it difficult to enjoy watching. This is frustrating considering it's one of the few services I use."
3346-BRMIS,1,"The streaming services I signed up for frequently buffer or fail to load altogether, making it impossible to enjoy TV shows or movies. Despite paying for these services, the quality has been very disappointing."
6898-MDLZW,2,"I contacted tech support for assistance with the slow internet, but the resolution provided didn’t work, and I haven’t received any follow-up on the issue."
7675-OZCZG,2,"Customer support has been unhelpful in addressing my concerns about slow internet speeds. Every time I call, I get generic responses without any real solutions, which is very frustrating."
9944-HKVVB,1,"The streaming services I signed up for, including TV and movies, frequently buffer or fail to load altogether, which makes them unusable. Despite paying a high monthly charge, I am not receiving the quality of service I expected."
7389-KBFIT,1,"The internet connection has been extremely slow and unreliable, making it difficult to work or stream anything. Despite having DSL service, the speeds are not meeting basic expectations."
2810-FTLEM,1,"I am extremely dissatisfied with the internet service. Despite paying consistently for 16 months, the connection has been slow and unreliable, and no meaningful assistance has been provided to resolve these issues."
1587-FKLZB,5,I was charged for the full month even though I canceled my service. I would like a refund for the unused portion of my final bill.
1240-KNSEZ,1,"I recently signed up for phone service, but the call quality has been consistently poor. Calls frequently drop, and the audio is often distorted, making it difficult to communicate. I need this issue resolved immediately."
4855-SNKMY,2,"I tried reaching out to customer support for assistance with my internet issues, but I received no helpful resolution, and the wait times were extremely long."
6463-MVYRY,3,"The DSL internet connection speed is not meeting my expectations, and there has been no improvement despite being a loyal customer for nearly five years."
9700-ZCLOT,1,"The phone service quality has been poor with frequent call drops and static on the line. Despite being a new customer, this issue has been ongoing for weeks, and I need it resolved immediately."
4597-ELFTS,5,"Despite being on a one-year contract, I feel that the service quality does not justify the charges, and I am considering leaving for a better provider."
7530-HDYDS,5,"I had to cancel my service due to poor quality and lack of resolution, but the cancellation process was confusing and frustrating."
3746-EUBYR,1,"The internet service has been extremely disappointing with frequent outages and slow speeds, making it impossible to use effectively despite the high charges."
4139-DETXS,2,"Despite having tech support included, it takes far too long to get assistance when I face issues, and the solutions provided are often temporary."
9430-FRQOC,1,"The internet service has been extremely unreliable, with frequent outages and slow speeds. Despite paying a high monthly charge, I haven't been able to use the service effectively, and the lack of online security makes me feel vulnerable."
6323-AYBRX,1,"I've been a loyal customer for nearly five years, but I feel like my loyalty hasn't been valued. Despite having minimal services, my monthly charges seem high compared to what is being offered to new customers. This lack of appreciation for long-term customers is very disappointing."
4597-NUCQV,1,"The internet service has been extremely unreliable with frequent outages, especially while streaming TV and movies. Despite paying a high monthly charge, the quality of service has not improved even after multiple complaints."
4317-VTEOA,3,The monthly charges are too high for the limited services I am receiving. I feel like I’m not getting value for my money.
9069-LGEUL,2,"I contacted customer support about the streaming issue, but I was not provided with a satisfactory resolution or follow-up. This lack of assistance is frustrating."
9497-QCMMS,1,"The streaming services I signed up for keep buffering and have poor quality, even though I'm paying a premium price for fiber optic internet. This has been frustrating, and I expect better performance or a resolution to this issue."
5748-RNCJT,1,"The internet speed has been consistently slow despite paying for fiber optic service, and the streaming services frequently buffer, making it impossible to enjoy TV or movies. After multiple attempts to resolve this through tech support, the issue remains unresolved."
0375-HVGXO,5,"The electronic check payment method feels outdated, and I would prefer more modern and flexible payment options."
4145-UQXUQ,1,"The streaming services I signed up for have constant buffering issues despite having fiber optic internet, which is supposed to be fast. This has made it frustrating to watch TV shows and movies, and I feel like I'm not getting the service I'm paying for."
6483-OATDN,1,"The internet speeds have been much slower than what was promised in the plan. It's been difficult to complete basic tasks online, and I expect better service considering the amount I am paying each month."
6797-LNAQX,2,"I contacted support for help with these internet issues, but I was told that tech support is not included in my plan. For the amount I’m paying monthly, I expected better service and support."
8640-SDGKB,5,"The billing process through electronic check has been frustrating, with delays and errors in processing my payments."
8224-KDLKN,1,"I have been a loyal customer for six years, but the lack of internet service options is frustrating. I would like to know why better internet services are not available in my area."
9701-CDXHR,3,"Every time I try to contact customer support about my internet issues, I am either left on hold for an extended period or not provided with any real solutions. This level of service is frustrating."
6311-UEUME,3,"The monthly charges are quite high, and I don’t feel like I’m getting value for the services provided, especially with the ongoing issues."
9874-QLCLH,1,"The streaming services for both TV and movies frequently buffer or fail to load altogether, even though I have Fiber optic internet. This has been a recurring issue, and it's unacceptable given the high monthly charges I’ve been paying."
3351-NQLDI,3,"I canceled my service due to these ongoing issues, but I was still charged for the following month. I demand an immediate refund and explanation."
7434-SHXLS,1,"I'm frustrated that I can't even sign up for internet service despite being a new customer. It's disappointing that such a basic service isn't available, and no one has provided clear answers on when or if it will be offered."
7251-XFOIL,3,"The monthly charges feel unreasonably high compared to the services I am receiving, especially since I am not using several features like Streaming TV or Online Security."
0064-YIJGF,3,I am disappointed that there are no additional security or backup services included in my plan despite the high cost. It feels like I'm paying for very limited features.
2024-BASKD,2,"When I reached out to customer support about the internet issues, I was told I would need to pay extra for tech support. This is unacceptable since the problem is with the service you are providing."
2709-UQGNP,1,"I have been experiencing frequent disruptions with my DSL internet service, making it difficult to complete important tasks. Despite having Online Security, these interruptions persist, and I am frustrated that no proactive support has been provided to resolve the issue."
0151-ONTOV,4,"I am frustrated that there are no added security or backup options included, even though the cost is already so steep."
3161-ONRWK,1,"Despite being a loyal customer for 5 years, I feel like I'm paying too much for a limited set of services. I don't use streaming TV or movies, yet my monthly charges are quite high. I would like to see if there are better options or discounts available."
7534-BFESC,1,"The internet service is too expensive for the limited features I receive. There’s no online security, backup, or tech support included, and I feel like I’m not getting value for the high monthly charges."
4902-OHLSK,1,"The streaming services I signed up for, both TV and movies, frequently buffer or fail to load altogether. Despite having fiber optic internet, the performance is unacceptable, and it's frustrating considering the high monthly charges."
3717-LNXKW,2,"Despite having online security, I've been receiving suspicious pop-ups and phishing attempts while browsing. This is concerning, and I need this issue resolved immediately."
0404-SWRVG,3,The monthly charges are too high for the poor quality of service I am receiving. I feel like I'm overpaying for features I don't even use.
9986-BONCE,1,"I am very frustrated with the limited service options available to me. Despite paying for phone service, I find the lack of internet access and related services like online backup or streaming to be extremely inconvenient."
6032-KRXXO,2,"I contacted customer support about the streaming issues, but I received no resolution or follow-up. The lack of assistance is unacceptable, especially as a long-term customer."
9415-TPKRV,1,"I am frustrated with the lack of online security included in my plan. With so many risks online, I feel unprotected, and I expected some level of security to be part of my internet service."
5835-BEQEU,3,"Considering I’ve only been with your company for three months, the high monthly charges for such poor service feel unjustified."
1565-RHDJD,1,"The internet service has been very unreliable, with frequent disruptions and slow speeds, which has made it difficult to complete important online tasks. Despite paying a high monthly fee, the quality of service has not improved."
0815-MFZGM,3,"The device protection service I have seems pointless as my recent request for assistance with a faulty router was denied, leaving me to handle the issue on my own."
7632-MNYOY,1,"The internet speeds have been inconsistent for months despite my long tenure as a customer. This is unacceptable, especially considering the high monthly charges I’m paying for fiber optic service."
8603-IJWDN,5,"I feel like I'm being overcharged for services I barely use, and the lack of a long-term contract option gives me no incentive to stay."
5236-PERKL,1,"I've been a loyal customer for years, but my bills have become increasingly expensive, and I feel like I am not getting the value I deserve for the amount I'm paying. The high monthly charges, especially for internet and streaming services, are simply not justifiable."
4220-TINQT,1,"The monthly charges for my services are too high. I feel like I'm not getting good value for the price I'm paying, especially since I'm not using some features like Online Security or Online Backup. I would like to discuss options to lower my bill."
2754-VDLTR,1,"The streaming services I subscribed to, including TV and movies, frequently buffer or fail to load, which is unacceptable considering the high monthly charges I'm paying. I need a resolution or a refund for these disruptions."
2867-UIMSS,5,"The process of managing my account without paperless billing is cumbersome and outdated. I would have preferred an easier, more modern billing system."
3132-TVFDZ,4,The electronic check payment method seems to cause delays and complications in billing. I've noticed discrepancies in my charges that I need clarified.
3011-WQKSZ,1,"I have been a loyal customer for over a year, but I am frustrated that there is no option for internet service in my area from your company. It's inconvenient to have to rely on another provider for internet when I already have phone service with you."
1265-XTECC,3,"My monthly charges are quite high considering the issues I've been experiencing, and I feel like I'm not getting value for the amount I'm paying."
7964-YESJC,4,"The process of mailing checks for payment is inconvenient. I would like an easier option that doesn't involve switching to paperless billing, as I prefer having physical records."
6339-RZCBJ,2,"I’ve noticed that despite being a long-term customer with a two-year contract, there hasn’t been any effort to offer loyalty discounts or rewards. I feel undervalued as a customer."
5642-MHDQT,2,I don't understand why my monthly charges are this high when I only have phone service. Can you please provide a detailed breakdown of my bill?
9921-QFQUL,1,The streaming movies service constantly buffers and takes too long to load. It's frustrating to pay for a premium internet service and still experience such poor performance.
8735-DCXNF,1,"Despite having tech support and online security, my internet connection has been dropping frequently over the past month, which is frustrating as I rely on it for work. I need this issue resolved immediately."
6711-FLDFB,4,"The monthly charges are too high for the level of service I'm receiving. I feel like I'm paying for features I don't use, and the value just isn't there."
8835-VSDSE,5,"The lack of included services like online security, backup, and tech support for the high monthly charges makes the plan feel overpriced and not worth continuing."
0397-GZBBC,3,"Despite the ongoing issues, my monthly charges remain high, and I feel like I'm not getting value for the amount I'm paying."
6892-XPFPU,1,"The internet service is extremely unreliable, especially for the high price I’m paying each month. Streaming TV and movies constantly buffer, and this has been a persistent issue despite my attempts to resolve it with customer support."
6603-QWSPR,1,"The monthly charges for my services are incredibly high, especially considering I don't even have Online Security. I feel like I'm not getting enough value for the amount I'm paying."
1977-STDKI,3,"Despite my issues, my monthly bill of $73 feels excessive for the limited services I'm receiving. I don't feel like I'm getting my money's worth."
3173-NVMPX,4,"Considering the monthly charges I am paying, I feel the value of the services provided is not up to the mark. I would appreciate better service or a reduction in charges."
4355-HBJHH,4,"The payment system using electronic checks has caused delays and errors in processing my payments, leading to unnecessary stress and confusion. This needs to be addressed immediately."
4765-OXPPD,3,The monthly charges of $65.00 feel excessive considering the poor quality of the internet service and lack of resolution to my complaints.
7851-WZEKY,3,"I contacted customer support about these issues, but they were unhelpful and did not provide any resolution. This lack of service is unacceptable."
9330-IJWIO,1,"The streaming services I signed up for frequently buffer or don’t load at all, even though I’m paying a premium price for fiber optic internet. This has been a persistent issue, and I’m extremely frustrated with the lack of resolution."
7734-DBOAI,1,"The streaming TV service I signed up for has been buffering and freezing constantly, making it impossible to enjoy any shows. This has been very frustrating, especially since I specifically chose this service to relax with my family."
0526-SXDJP,4,"I don’t use streaming services, yet my monthly charges seem quite high compared to what I actually use. Please review my billing and let me know why this is the case."
1173-NOEYG,3,"Despite being a long-time customer, I feel like I'm not receiving sufficient support to address these recurring issues, especially since I don't have access to tech support."
8166-ZZTFS,1,"I am extremely disappointed with the lack of technical support provided, especially after being a loyal customer for over five years. Despite paying a high monthly charge, I had to deal with unresolved issues with my streaming services and internet connection, which ultimately forced me to cancel my contract."
4929-XIHVW,1,"The streaming services I signed up for, including TV and movies, frequently buffer or fail to load altogether. For the high monthly charges I'm paying, I expect a much better experience. Please resolve this issue as soon as possible."
2446-ZKVAF,3,"Despite reaching out about slow internet speeds, the issue remains unresolved, and I haven't received any updates. The lack of communication is frustrating."
