customerID,complaint,complaint_number
9103-TCIHJ,"The DSL internet speed is far slower than what was promised when I signed up, making it difficult to complete online tasks efficiently.",2
9103-TCIHJ,"When I reached out to customer service about the slow internet and poor call quality, I was given no helpful resolution and felt my concerns were dismissed.",3
3874-EQOEP,"The streaming services I signed up for, including StreamingTV and StreamingMovies, frequently buffer or stop working altogether, making it impossible to enjoy any content.",1
3874-EQOEP,"I contacted customer support about the streaming issues, but I was put on hold for a long time and did not receive any meaningful assistance.",2
3874-EQOEP,"Despite the ongoing problems with the services, my monthly charges remain high, and there has been no adjustment or compensation for the inconvenience.",3
4078-SAYYN,"The streaming services I signed up for frequently buffer or crash, and the internet speed is inconsistent despite paying a high monthly fee. This has been very frustrating, especially since I'm on a month-to-month contract.",1
2968-SSGAA,The internet speed has been consistently poor despite paying for Fiber Optic service. Streaming movies and TV is a frustrating experience with constant buffering.,1
2968-SSGAA,"I contacted customer support about the slow internet, but I did not receive any helpful assistance, and the issue still persists.",2
2968-SSGAA,The monthly charges are excessively high for the quality of service provided. I don't feel I'm getting value for my money.,3
2968-SSGAA,"Despite not having Online Security or Tech Support, I feel the lack of these critical services greatly impacts my experience, and there was no clear communication about their absence when I signed up.",4
2968-SSGAA,"The billing process through electronic check has been inconvenient, and I noticed discrepancies in my bill that were not explained or corrected.",5
0529-ONKER,"The internet speed has been consistently slow, making it difficult to use even basic online services. This is unacceptable for the high monthly charges I'm paying.",1
0529-ONKER,"I have repeatedly called customer support about the internet issues, but I have not received any helpful resolution. The lack of assistance is frustrating.",2
0529-ONKER,The fact that I’m being charged $75.65 per month for services without additional features like online security or tech support feels unreasonable and overpriced.,3
0529-ONKER,"Despite opting for paper billing, I’ve noticed delays in receiving my bill, causing inconvenience and uncertainty about payment deadlines.",4
8390-FESFV,"The streaming services I've been paying for are constantly buffering and lagging, making it impossible to watch anything without interruptions. I've contacted customer support multiple times, but the issue still hasn't been resolved.",1
8519-IMDHU,"The streaming movies service often buffers and freezes, making it impossible to enjoy anything. Despite paying a high monthly charge, the quality of service has been extremely disappointing.",1
6648-INWPS,"I often experience billing delays due to the lack of paperless billing, and it’s inconvenient to manage payments with the current system. Please provide a more streamlined option.",1
6688-UZPWD,"The internet speed with the fiber optic service has been extremely inconsistent, especially while streaming TV and movies. Despite paying a high monthly charge, I am not getting the quality I expected, and there has been no resolution despite multiple attempts to contact support.",1
2858-MOFSQ,"The internet service has been unreliable for months, with frequent slowdowns and disconnections. Despite paying for DSL, the quality has not improved, and this has been extremely frustrating.",1
2858-MOFSQ,"I contacted customer support about the internet issues, but I did not receive any helpful assistance. The lack of tech support for resolving this problem was one of the main reasons I decided to leave.",2
2038-LLMLM,"The streaming services I pay for, both TV and movies, frequently lag or fail to load altogether. This has been an ongoing issue, especially during peak hours, and it's incredibly frustrating.",1
2038-LLMLM,"Despite having tech support included in my plan, I often have to wait an unreasonable amount of time to get assistance when I face technical issues. It's unacceptable for a service I’m paying a premium for.",2
2979-SXESE,"The streaming TV service frequently buffers and freezes, making it impossible to watch anything without interruptions. Despite having a fiber optic connection, the issue has not improved, and no resolution has been provided after multiple attempts to contact customer support.",1
1374-DMZUI,"The streaming services for both TV and movies often buffer or fail to load, which is extremely frustrating considering the high monthly charges I am paying.",1
1374-DMZUI,"I have been having issues with my fiber optic internet being down frequently, and there is no assistance available since my plan doesn't include tech support.",2
1374-DMZUI,"Your customer service is unhelpful when I try to resolve these issues, and I am tired of paying for services that do not work as advertised.",3
2189-UXTKY,"My monthly bill is too high for the services I’m receiving. Despite having tech support and online security, I’ve faced multiple issues with my internet service, including slow speeds and buffering while streaming. I expected better service for the price I’m paying.",1
4446-BZKHU,"The internet service has been consistently unreliable, with frequent outages and buffering issues while streaming TV and movies. Despite being a long-term customer, I feel that the quality of service has not improved, and this has been very frustrating.",1
8849-GYOKR,"I've been a loyal customer for years, but the high monthly charges for my services, especially for fiber optic internet and streaming, feel excessive compared to competitors. Despite having multiple services, I don't see any loyalty discounts or benefits.",1
0329-GTIAJ,"The streaming services I signed up for, both TV and movies, frequently buffer or stop working altogether. This has been incredibly frustrating, especially since I am paying for high-speed fiber optic internet.",1
0329-GTIAJ,"When I contacted tech support about the streaming issues, I was put on hold for an extended period, and the issue was not resolved even after multiple attempts.",2
9337-SRRNI,"The quality of the phone service has been poor lately, with frequent call drops and issues with clarity.",1
9337-SRRNI,"I feel like I'm being overcharged for my phone service, especially since I don't have internet services bundled with it.",2
9337-SRRNI,"I tried reaching out to customer support about my phone issues, but I haven't received any helpful response or resolution.",3
9451-WLYRI,"I've been a loyal customer for over four years, but I don't understand why my service options are so limited. Despite paying consistently, I'm not able to access internet services, which feels unfair. I would like an explanation or a way to upgrade my services.",1
2027-WKXMW,"The streaming services, both TV and movies, frequently buffer and ruin my viewing experience. This has been ongoing for weeks, and I expect better service given how much I’m paying monthly.",1
2027-WKXMW,"Despite having tech support included, it takes forever to get issues resolved when I call. The delays and lack of proactive solutions are extremely frustrating.",2
0122-OAHPZ,"The internet service has been extremely unreliable, with frequent outages and slow speeds, making it impossible to get work done or stream content. This has been an ongoing issue, and no resolution has been provided despite multiple attempts to reach out.",1
0122-OAHPZ,"The customer support team has been unhelpful in addressing my complaints about the internet service. Each time I call, I am either put on hold for an extended period or given generic responses without any real action being taken.",2
4489-SNOJF,"I am extremely disappointed with the frequent price increases on my monthly bill despite being a loyal customer for nearly three years. The charges feel excessive, especially considering I am careful to use only the services I need.",1
4291-SHSBH,"I've been experiencing frequent internet outages with the fiber optic service, which is unacceptable given the high monthly charges.",1
4291-SHSBH,"I contacted customer support regarding the internet issues, but the response was unhelpful and no resolution was provided.",2
4291-SHSBH,The lack of included services like online security or tech support for the price I'm paying feels unfair and makes me question the value of this subscription.,3
3583-EKAPL,"The streaming movies service is not working properly. I've been trying to watch movies, but the service keeps buffering or failing to load altogether. This is very frustrating, especially since I've just started my account.",1
7895-VONWT,"The streaming services I subscribed to, both TV and movies, often experience buffering and interruptions despite having a stable internet plan. This has been frustrating, and I expect a resolution to improve the quality of these services.",1
0617-AQNWT,"I've been a loyal customer for over five years, yet my internet speed has been consistently slower than advertised. This has been a persistent issue that has not been resolved despite reaching out earlier.",1
0617-AQNWT,"My streaming movie service frequently buffers, making it almost impossible to enjoy watching anything. This is unacceptable given how much I am paying monthly.",2
0617-AQNWT,"I specifically chose a plan with tech support, but when I called for help with my internet issues, I was put on hold for over an hour without resolution.",3
0617-AQNWT,"Despite not using paperless billing, I often receive billing statements late, which has caused unnecessary stress and confusion about payment deadlines.",4
0617-AQNWT,"I decided to cancel my service because of the continued poor performance and lack of resolution, but the cancellation process was unnecessarily complicated and time-consuming.",5
6719-OXYBR,"The internet speed is not as advertised. Despite paying for fiber optic, I often experience slow loading times, especially during peak hours.",1
6719-OXYBR,"The streaming TV service frequently buffers, making it nearly impossible to watch anything uninterrupted.",2
6719-OXYBR,"I contacted customer support about the buffering issue, but I was put on hold for over 30 minutes and didn’t receive a satisfactory resolution.",3
6719-OXYBR,The monthly charge is too high for the level of service I’m receiving. I feel I am not getting value for my money.,4
6719-OXYBR,I am frustrated that basic online security features are not included in my plan. I would expect this to be a standard offering given the high cost.,5
8894-JVDCV,"The streaming TV service often buffers and freezes during peak hours, making it nearly impossible to watch anything without interruptions.",1
8894-JVDCV,"Despite paying for premium fiber optic internet, I frequently experience inconsistent speeds, which affects both browsing and streaming.",2
8894-JVDCV,"The customer support team takes too long to respond when I report issues, and when they do, the solutions provided are often ineffective.",3
8894-JVDCV,"I noticed an unexpected increase in my monthly charges recently, and I haven't received any explanation or notification about this change.",4
7133-VBDCG,"The internet connection has been extremely inconsistent despite using fiber optic service. I've reported this issue multiple times, but it still hasn't been resolved, which is very frustrating and led me to cancel my service.",1
5380-AFSSK,"The streaming services I’ve been paying for are constantly buffering and lagging, making it impossible to enjoy watching TV or movies. Despite the high monthly charges, the quality of service has been very disappointing.",1
9391-DXGGG,"The internet speed is not consistent, and I often experience buffering while streaming movies, which is frustrating given the high monthly charges.",1
9391-DXGGG,"I have been paying for tech support, but the service is unavailable when I need assistance with my internet issues. This is unacceptable.",2
9391-DXGGG,Your customer service team is unresponsive and unhelpful when I try to report service issues. I expect better support for long-term customers.,3
0207-MDKNV,"The streaming services I signed up for, including both TV and movies, often buffer or fail to load altogether. This has been frustrating, especially since I'm paying a premium for Fiber optic internet.",1
0207-MDKNV,"Despite having tech support included, when I reached out for help with my streaming issues, the support team was unresponsive and did not resolve the problem.",2
7587-RZNME,"The DSL internet service has been extremely slow and unreliable despite paying $43.30 per month. Customer support has not provided any real assistance, which is why I decided to cancel my service.",1
9514-JDSKI,"The streaming TV service consistently buffers and lags, making it impossible to watch anything without interruptions. This is unacceptable, especially for a new customer.",1
9514-JDSKI,"I reached out to customer support regarding my streaming issues, but I received no clear resolution or follow-up. This lack of assistance is very frustrating.",2
9776-CLUJA,"The internet service has been consistently unreliable despite being on a fiber optic plan. I’ve had frequent outages and slow speeds, which is unacceptable given the high monthly charges. I had no choice but to cancel my service.",1
6365-MTGZX,"The streaming services I pay for, including TV and movies, frequently buffer or fail to load altogether, which has been very frustrating.",1
6365-MTGZX,"Despite paying for tech support, I struggled to get any meaningful assistance when I reported the streaming issues, and the problem still isn't resolved.",2
6365-MTGZX,"The fiber optic internet connection has frequent drops, making it impossible to enjoy the services I'm paying for.",3
6365-MTGZX,"The monthly charge of $96 is far too high given the consistent issues with the services, and I feel like I'm not getting what I paid for.",4
6365-MTGZX,I was charged for the month even though I decided to cancel due to these ongoing problems—I would like a refund for the unused services.,5
7036-ZZKBD,"The streaming movies service often buffers and has poor video quality, even though I am paying for it. This has been frustrating, and I would like this issue resolved immediately.",1
5931-FLJJF,"The internet service has been extremely unreliable, with frequent outages and slow speeds, making it difficult to complete basic tasks online.",1
5931-FLJJF,"I tried reaching out to customer support to resolve the internet issues, but no one was able to provide a satisfactory solution or timeline for fixing the problem.",2
5931-FLJJF,"Despite the poor service, my monthly bill remains high, and I don’t feel like I’m getting value for the amount I’m paying.",3
7688-AWMDX,"Despite being a long-term customer, my DSL internet speed has been consistently below what was promised in my plan. It's frustrating to deal with such slow speeds when I rely on a stable connection for work and other activities. Please resolve this issue promptly.",1
0479-HMSWA,"The streaming services I signed up for, both TV and movies, frequently buffer or crash, which disrupts my viewing experience. This has been ongoing for weeks, and I need it fixed immediately.",1
0479-HMSWA,"Despite having tech support included in my plan, it took ages to get through to a representative the last time I called, and they couldn't resolve my issue effectively. This level of support is unacceptable for the amount I’m paying.",2
6393-WRYZE,"The streaming services I signed up for frequently buffer or stop working altogether, even though I am paying a premium price for fiber optic internet. This has been a persistent issue, and I haven't received any resolution despite contacting support.",1
6393-WRYZE,"I was hoping to get better customer support for technical issues, but every time I try to reach out, I either get no response or unhelpful answers. This has left me feeling frustrated and undervalued as a customer.",2
2025-JKFWI,"The streaming services keep buffering, and the internet speed is inconsistent despite having a fiber optic connection. This has been ongoing for weeks, and I expected better service given the high monthly charges.",1
6289-CPNLD,"The streaming services, both TV and movies, have been buffering constantly, making it impossible to enjoy any content. I expect better service for what I'm paying.",1
6289-CPNLD,"The internet connection through DSL has been slow and unreliable, causing disruptions during work and entertainment time.",2
6289-CPNLD,"I contacted tech support regarding the internet issues, but the response was delayed, and the solution provided did not resolve the problem.",3
6289-CPNLD,"Despite having device protection, I was not given proper assistance when my modem stopped working, and I had to purchase a replacement myself.",4
6289-CPNLD,"The mailed check payment method is inconvenient, and I faced delays in processing my payments, leading to unnecessary stress.",5
6457-USBER,"The streaming movies service is constantly buffering and has poor quality, making it impossible to enjoy any content properly.",1
6457-USBER,"Your customer support team has been unhelpful in resolving my streaming issues. I've contacted them multiple times, but the problem remains.",2
6457-USBER,"The monthly charges are too high for the limited services I’m receiving, especially considering the ongoing issues with streaming.",3
0754-UKWQP,"The internet speed is terrible, especially for a fiber optic connection. Streaming movies and TV shows constantly buffer, which ruins the experience.",1
0754-UKWQP,"I called customer service to report the slow internet issue, but the response was unhelpful and they failed to resolve the problem.",2
0754-UKWQP,My monthly charges are too high for the quality of services provided. I'm not getting the value I expected for $95.85 per month.,3
0754-UKWQP,There was no clear communication about additional fees for services like device protection. I feel misled about the pricing.,4
0754-UKWQP,The process of canceling my subscription was overly complicated and frustrating. It took multiple calls just to ensure my account was closed.,5
4664-NJCMS,"The streaming services I subscribed to, including TV and movies, often experience buffering or interruptions, making it difficult to enjoy my content.",1
4664-NJCMS,"Despite having tech support included in my plan, I had to wait an unusually long time to get assistance when I reported the issue with streaming.",2
4664-NJCMS,The DSL internet speed is not consistent and doesn't seem to match the rates I’m paying for—it's often slower than expected.,3
4664-NJCMS,"I noticed that my monthly charges have slightly increased over time, and I would like an explanation for these changes.",4
5708-EVONK,"The streaming movies service frequently buffers and often has poor video quality, making it difficult to enjoy watching. This has been a recurring issue despite having a fiber optic connection.",1
5708-EVONK,"I contacted customer support about the streaming issue, but they were unable to provide a resolution or timeline for fixing the problem, which is very frustrating.",2
0970-ETWGE,"The streaming services I signed up for, both TV and movies, keep buffering and are nearly unusable. This is unacceptable given the high monthly charges for fiber optic internet.",1
0970-ETWGE,"I contacted customer support about the streaming issues, but they were unhelpful and provided no resolution.",2
0970-ETWGE,"My internet connection is unstable despite being on fiber optic, which I expected to be fast and reliable.",3
0970-ETWGE,"I've only been a customer for a month, and I'm already considering leaving because of the poor service quality and lack of support.",4
0970-ETWGE,The electronic check payment method is inconvenient and caused delays in processing my bill. I would prefer more flexible payment options.,5
3334-CTHOL,"The phone service quality has been extremely poor, with frequent dropped calls and bad signal strength. Despite having multiple lines, I am unable to use the service effectively, which is frustrating given the cost.",1
7102-JJVTX,"The internet speeds with my DSL service are much slower than what was advertised, making it difficult for my family to use the internet efficiently. This has been an ongoing issue, and I would like it resolved as soon as possible.",1
2027-FECZV,"The streaming services I signed up for, including TV and movies, frequently buffer and lag, making it impossible to enjoy any content. Despite paying a high monthly charge, the quality of service has been incredibly frustrating.",1
5624-BQSSA,"I signed up for phone service expecting reliable connectivity, but I've been dealing with dropped calls and poor call quality since the beginning. This is unacceptable, especially as a new customer.",1
6651-AZVTJ,"The internet service has been consistently unreliable, especially during streaming. Both TV and movie streaming frequently buffer or disconnect, making it impossible to enjoy the services I’m paying for. Despite contacting support previously, the issue remains unresolved.",1
4118-CEVPF,"The monthly charges are extremely high despite having a one-year contract. I feel like I’m not getting a reasonable price for the services I’m using, and I would like to discuss better pricing options.",1
0022-TCJCI,"The internet speed has been consistently slower than what was promised in my plan, and despite being a long-time customer, the issue has not been resolved.",1
0022-TCJCI,"I have called customer support multiple times regarding the slow internet, but I either get no response or vague promises without any follow-up.",2
0022-TCJCI,"I was recently charged an unusually high monthly bill, and there was no explanation or breakdown for the charges.",3
0022-TCJCI,"I canceled my service because of these ongoing issues, but I was still billed after cancellation, and I need this resolved immediately.",4
4514-GFCFI,"The streaming TV service frequently buffers or stops working altogether, making it impossible to enjoy watching shows. I have reported this issue several times, but no resolution has been provided.",1
4626-OZDTJ,"The streaming services I’m paying for frequently buffer or crash, especially during peak hours, which is extremely frustrating given how long I’ve been a loyal customer. I expect better service for the price I’m paying.",1
9524-EGPJC,"The streaming movies service I signed up for keeps buffering and is almost unwatchable. Despite having fiber optic internet, the issue has not been resolved.",1
9524-EGPJC,"I contacted tech support about the streaming issue, but the response was unhelpful and did not fix the problem. I am very frustrated with the lack of resolution.",2
7312-XSBAT,"The internet speed I’m getting is much slower than what was promised under the DSL plan. It’s been frustrating trying to complete basic online tasks, and I need this resolved immediately.",1
9282-IZGQK,"The streaming service for movies keeps buffering, which makes it impossible to enjoy watching anything. I've been dealing with this issue since I started my service.",1
9282-IZGQK,I can't get through to customer support to resolve the streaming issue. I've been on hold for hours and still haven't gotten any help.,2
9282-IZGQK,My monthly bill is too high for the limited services I receive. I expected better value for the price I'm paying.,3
9282-IZGQK,"I feel frustrated that there are no options for tech support or device protection, which leaves me without any assistance when things go wrong.",4
5392-AKEMH,"I am frustrated with the lack of support or options to enhance my internet security. As a DSL customer, I feel exposed without online security features, and there seems to be no clear guidance or bundled options to address this concern.",1
6142-VSJQO,"The DSL internet service is extremely slow and unreliable, making it difficult to complete even basic online tasks.",1
6142-VSJQO,"I am frustrated that there is no option for online security or tech support, leaving me with no assistance when issues arise.",2
6142-VSJQO,"I was expecting better phone service, but I’ve been experiencing dropped calls and poor call quality.",3
6142-VSJQO,"The customer support team has been unhelpful in resolving my issues, and I feel like my concerns are being ignored.",4
6142-VSJQO,I don’t think the monthly charges are justified given the lack of reliable services and support.,5
5419-CONWX,"My internet service has been extremely unreliable, with frequent outages and buffering issues while using streaming services like TV and movies. This has made it impossible to enjoy the services I am paying for.",1
5419-CONWX,"I contacted customer support about the internet issues, but I was not provided with any resolution or assistance. The lack of tech support for my situation is frustrating.",2
5419-CONWX,"Despite my complaints and poor service experience, my monthly charges remain very high. I feel like I am overpaying for services that are not meeting basic standards.",3
6047-YHPVI,"My internet service has been extremely unreliable, with frequent outages and slow speeds. Despite paying a high monthly charge, I am not getting the quality of service I expected. This has been very frustrating and has disrupted my daily activities.",1
2398-YPMUR,"The internet service has been consistently unreliable, with frequent outages and poor performance, making it difficult to complete essential tasks. Despite being a loyal customer for over a year, the lack of resolution has forced me to consider alternative providers.",1
8292-TYSPY,"The internet speed has been consistently below what was promised in my plan. I have called customer service multiple times, but the issue remains unresolved.",1
8292-TYSPY,"There have been frequent interruptions to my DSL internet service, which makes it impossible to work from home efficiently.",2
8292-TYSPY,"I’ve been paying for tech support, but when I reached out for help with my connection issues, the support team was unresponsive and unhelpful.",3
8292-TYSPY,"I recently discovered that I’ve been charged for services I don’t fully use, such as device protection, and I would like a refund for these unnecessary charges.",4
4801-KFYKL,"I have been trying to get internet service added to my account, but your customer service team has been unresponsive and unhelpful. This delay is affecting my ability to work and stay connected.",1
4801-KFYKL,"Despite being a loyal customer for 8 months, I feel like I am not being offered any incentives or promotions to add additional services, which seems unfair.",2
4801-KFYKL,"I recently noticed some discrepancies in my billing statement, and the lack of a paperless billing option makes it harder to track and resolve these issues efficiently.",3
8718-PTMEZ,"The internet speed is extremely slow, making it difficult to complete even basic online tasks. This has been a recurring issue for months, and nothing has improved despite paying for the service.",1
8718-PTMEZ,"I feel like I am not getting value for the amount I am paying, especially since I don't have access to additional features like online security or tech support.",2
8718-PTMEZ,"When I tried to cancel my service, the process was unnecessarily complicated, and I was still charged for another month despite my request to cancel immediately.",3
7601-GNDYK,"The phone service has been inconsistent, with call drops and poor voice quality. This has been a recurring issue, and I need it resolved immediately.",1
7601-GNDYK,"I am unable to access any internet-related services, yet I feel the charges are still quite high for what I’m getting. I’d like clarification on what I’m paying for.",2
7601-GNDYK,The mailed check payment process is inconvenient and slow. I would appreciate more payment options to make this easier.,3
0654-PQKDW,"The streaming TV service often freezes or buffers during shows, even though I have a stable internet connection and all other services are working fine. This has been a recurring issue that disrupts my viewing experience.",1
4250-WAROZ,"The streaming movies service often buffers and lags, making it difficult to enjoy movies. I've been paying a premium for fiber optic internet, so I expect better performance. Please resolve this issue promptly.",1
3063-QFSZL,"I signed up for streaming movies, but the service keeps buffering and is nearly unwatchable. I've only just started with your company, and this is already frustrating. Please fix this issue immediately.",1
0378-XSZPU,"Even though I'm on a one-year contract, I've been experiencing frequent slowdowns with my DSL internet service, and it's frustrating that this issue hasn't been resolved despite being a long-term customer.",1
0378-XSZPU,"I specifically signed up for Online Security and Backup services, but they don’t seem to work as advertised. My data was once at risk due to a security breach.",2
0378-XSZPU,"It’s extremely frustrating that I can’t get proper technical support when I need help. Every time I call, I’m told to troubleshoot on my own without any real assistance.",3
0378-XSZPU,I also find the charges to be quite high compared to the quality of service I’m receiving. I expected better for the amount I’ve been paying over the years.,4
4612-THJBS,"The streaming services for both TV and movies often buffer or fail to load properly despite having a fiber optic internet connection. This has been a persistent issue, and it is very frustrating.",1
4612-THJBS,"I was promised better support for my internet service when I signed up for the one-year contract, but whenever I reach out, there is little to no help available with technical issues.",2
4612-THJBS,"The monthly charges are way too high for the level of service I am receiving, especially considering the recurring problems with streaming and lack of tech support.",3
0880-TKATG,"The streaming services I signed up for frequently buffer or fail to load, especially during peak hours. This has made it very frustrating to watch TV or movies with my family. I expected better quality given the high monthly charges.",1
2514-GINMM,"The streaming TV service constantly buffers and makes it impossible to watch anything without interruptions. Considering how much I'm paying monthly, this is unacceptable.",1
7401-JIXNM,The monthly charges for my services are too high compared to what similar providers offer. I would like to understand why I’m being charged so much and if there are any options to lower my bill.,1
4188-PCPIG,"The streaming TV service frequently buffers and disrupts my viewing experience, even though I have been a loyal customer for almost five years. I expect a resolution to this issue, as it is affecting the quality of the service I am paying for.",1
4077-HWUYD,"The streaming services, both TV and movies, often lag or buffer despite having a stable internet connection. This makes it difficult to enjoy the content.",1
4077-HWUYD,"I tried reaching out to tech support regarding the streaming issues, but the response time was very slow, and the problem remains unresolved.",2
4077-HWUYD,"For the amount I am paying monthly, I expect seamless service across all platforms. The recurring issues with streaming and lack of effective resolution are unacceptable.",3
5066-GFJMM,"The phone service has frequent call drops and poor audio quality, making it difficult to hold conversations.",1
5066-GFJMM,I am unhappy with the lack of internet service options available to me. It feels like there should be more choices for customers.,2
5066-GFJMM,"The monthly charges for just phone service seem high, especially when I am not utilizing any internet or additional features.",3
0897-FEGMU,"The streaming services for TV and movies are constantly buffering and the quality drops frequently, making it impossible to enjoy them.",1
0897-FEGMU,"I noticed my internet speeds are much slower than what was advertised for fiber optic service, and it’s frustrating to pay so much for unreliable connectivity.",2
0897-FEGMU,"I tried reaching out to customer support about these issues, but there was no helpful resolution and they seemed dismissive of my concerns.",3
0897-FEGMU,"The monthly charges are extremely high for the level of service I’m receiving, and I feel that I’m not getting my money’s worth.",4
0947-MUGVO,"The internet service has been extremely unreliable, with frequent interruptions and slow speeds, making it difficult to complete daily tasks. Despite being a loyal customer for over a year, this issue has not been resolved.",1
0947-MUGVO,"Customer support has been unhelpful in addressing my concerns about internet reliability. Each time I call, I am either put on hold for a long time or told the issue will be fixed, but nothing changes.",2
8149-AIQCG,"I am frustrated with the lack of tech support for my fiber optic internet service. Whenever I face connectivity issues, there is no one available to assist me, and I feel like I’m paying a premium without getting adequate support.",1
3137-LUPIX,"The streaming TV service frequently buffers and loses quality, making it hard to enjoy watching shows. This has been happening for a while and needs to be resolved.",1
3137-LUPIX,"I tried to contact tech support about the streaming issues, but the wait times were extremely long, and I couldn't get the help I needed.",2
3137-LUPIX,I also feel that the monthly charges are quite high for the level of service I'm receiving. It's frustrating to pay this much for such recurring problems.,3
8972-HJWNV,"The streaming movies service frequently buffers or crashes, making it impossible to watch anything without interruptions. This has been an ongoing issue that hasn’t been resolved despite my complaints.",1
8972-HJWNV,"My monthly bill is too high for the limited services I receive, especially since I don't have online security, backup, or tech support included. I feel the pricing is unfair.",2
8972-HJWNV,"The customer support team has not been helpful in addressing my concerns. Every time I reach out, I am either put on hold for an extended period or given vague responses with no follow-up.",3
2506-TNFCO,"The internet service has been extremely unreliable. I've experienced frequent outages and slow speeds, making it difficult to perform basic online tasks. This is unacceptable, especially given the high monthly charges.",1
2506-TNFCO,"When I reached out to customer support to address the internet issues, I was met with unhelpful responses and no resolution. I am very disappointed with the lack of assistance.",2
8295-KMENE,"The streaming TV service frequently buffers and sometimes fails to load entirely, which makes it difficult to enjoy shows. This has been happening for a while, and I would like it resolved.",1
8295-KMENE,"Despite having tech support included in my plan, it often takes too long to get assistance when I encounter issues. The wait times are frustrating.",2
8295-KMENE,"I'm paying a considerable amount monthly, but I feel like the internet speeds and overall service quality do not match the cost. I would like to know if there are any improvements or adjustments available.",3
1137-DGOWI,"The streaming movies service frequently buffers and disrupts my viewing experience, even though I pay a premium for reliable internet and added services.",1
1137-DGOWI,"Despite having tech support included, it takes an unreasonably long time to get a response when I need assistance with my internet issues.",2
5696-EXCYS,"I'm dissatisfied with the lack of internet service options. As a customer, I expect more comprehensive service offerings, including internet access, to meet my needs.",1
5696-EXCYS,The pricing for my current plan seems high for the limited services I receive. I would like a review of my account to ensure fair pricing.,2
5524-KHNJP,"The streaming services have been buffering constantly, making it impossible to watch TV or movies without interruptions. This has been happening for weeks, and I need this resolved immediately.",1
5524-KHNJP,"Despite paying for tech support, I have not been able to get assistance when I call customer service. The wait times are too long, and no one has followed up on my complaints.",2
0285-INHLN,"The internet speed has been inconsistent for the past few weeks, making it difficult to complete important tasks for my household. I would like this issue to be resolved promptly.",1
8937-RDTHP,The streaming movies service constantly buffers and is unwatchable despite having fiber optic internet. I expected better performance from such a high-cost plan.,1
7797-EJMDP,"The streaming movies service frequently buffers or fails to load properly, even though I have tech support and online security enabled. This has been very frustrating, especially since I'm paying for a reliable connection.",1
5494-WOZRZ,"The streaming services I am paying for are often buffering or not loading properly, which disrupts my experience. I expect better quality given the price I’m paying.",1
5494-WOZRZ,"Despite having tech support included in my plan, it takes too long to get assistance when I face issues. Your response times need to improve.",2
5494-WOZRZ,"The monthly charges keep increasing, and I feel like I’m not being informed properly about these changes. I would like a clear explanation of the price hikes.",3
1501-SGHBW,"The internet speed has been extremely slow, making it difficult to perform basic tasks online. Despite being a new customer, I feel like the service quality is not worth the cost.",1
0807-ZABDG,"The internet service has been extremely slow and inconsistent, making it difficult to complete tasks like online schoolwork for my dependents. Despite having tech support included, the issue hasn't been resolved.",1
